league,round,team1,team2,dd,result,star
supercup,,DEbmn,ESsvl,20200924,2-1,3
CL,v2,NLaz1,CZvpl,20200826,3-1,3
CL,v3,UAdkv,NLaz1,20200915,2-0,1
CL,gA,NLajx,G1lvp,20201021,0-1,
CL,gA,DKmdl,ITatb,20201021,0-4,
CL,gA,ITatb,NLajx,20201027,-,
CL,gA,G1lvp,DKmdl,20201027,-,
CL,gA,DKmdl,NLajx,20201103,-,
CL,gA,ITatb,G1lvp,20201103,-,
CL,gA,NLajx,DKmdl,20201125,-,
CL,gA,G1lvp,ITatb,20201125,-,
CL,gA,G1lvp,NLajx,20201201,-,
CL,gA,ITatb,DKmdl,20201201,-,
CL,gA,NLajx,ITatb,20201209,-,
CL,gA,DKmdl,G1lvp,20201209,-,
EL,v2,LUndk,NLwl2,20200916,0-5,2
EL,v3,SInsm,NLpsv,20200924,1-5,2
EL,v3,NLwl2,G2glr,20200924,0-4,2
EL,po,NOros,NLpsv,20201001,0-2,2
EL,gE,NLpsv,ESgrn,20201022,1-2,
EL,gE,GRpks,CYomm,20201022,1-1,
EL,gE,CYomm,NLpsv,20201029,-,
EL,gE,ESgrn,GRpks,20201029,-,
EL,gE,GRpks,NLpsv,20201105,-,
EL,gE,CYomm,ESgrn,20201105,-,
EL,gE,NLpsv,GRpks,20201126,-,
EL,gE,ESgrn,CYomm,20201126,-,
EL,gE,ESgrn,NLpsv,20201203,-,
EL,gE,CYomm,GRpks,20201203,-,
EL,gE,NLpsv,CYomm,20201210,-,
EL,gE,GRpks,ESgrn,20201210,-,
EL,gF,ITnpl,NLaz1,20201022,0-1,
EL,gF,HRhrk,ESrsc,20201022,0-1,
EL,gF,NLaz1,HRhrk,20201029,-,
EL,gF,ESrsc,ITnpl,20201029,-,
EL,gF,ESrsc,NLaz1,20201105,-,
EL,gF,HRhrk,ITnpl,20201105,-,
EL,gF,NLaz1,ESrsc,20201126,-,
EL,gF,ITnpl,HRhrk,20201126,-,
EL,gF,NLaz1,ITnpl,20201203,-,
EL,gF,ESrsc,HRhrk,20201203,-,
EL,gF,HRhrk,NLaz1,20201210,-,
EL,gF,ITnpl,ESrsc,20201210,-,
EL,gK,HRdzg,NLfyn,20201022,-,
EL,gK,ATwlf,RUcmk,20201022,-,
EL,gK,NLfyn,ATwlf,20201029,-,
EL,gK,RUcmk,HRdzg,20201029,-,
EL,gK,NLfyn,RUcmk,20201105,-,
EL,gK,HRdzg,ATwlf,20201105,-,
EL,gK,RUcmk,NLfyn,20201126,-,
EL,gK,ATwlf,HRdzg,20201126,-,
EL,gK,RUcmk,ATwlf,20201203,-,
EL,gK,NLfyn,HRdzg,20201203,-,
EL,gK,ATwlf,NLfyn,20201210,-,
EL,gK,HRdzg,RUcmk,20201210,-,
