url,description,date1,date2
http://www.wimbledon.org/,Wimbledon,6,7.3
http://www.letour.fr/,Tour de France,6.8,8
https://www.giroditalia.it/,Giro d'Italia,6,7
http://www.nostour.nl/,Tour de France (NOS),6.8,8
http://valentijnsdag.pagina.nl/,14 feb Valentijnsdag,2.3,2.8
http://www.knsb.nl/,Schaatsen: EK/WK sprint/all-round,1,3.9
http://www.ausopen.org/,Australian Open,2,3
http://www.4en5mei.nl/,vier en vijf mei,4.7,5.5
http://www.examenblad.nl/,Eindexamens,5.5,6.3
http://www.rolandgarros.org/,Roland Garros,4.7,6.4
http://www.usopen.org/,US Open,8.5,9.5
http://prinsjesdag.minfin.nl/,Prinsjesdag,9.25,9.9
https://www.lavuelta.es/,Vuelta (Ronde van Spanje),9,9.9
,Olympische zomerspelen,7,9
,5 december Sinterklaas,11.3,12.3
https://www.nporadio2.nl/top2000,Top 2000,12.5,13.3
,25-26 december Kerstfeest,12.5,13.3
