id,long_name,short_name
NLach,Achilles '29,
NLado,ADO,
NLadh,ADO Den Haag,Den Haag
NLad2,ADO'20,
NLafc,AFC,
NLajx,Ajax,
NLaj2,Jong Ajax,
NLago,AGOVV Apeldoorn,
NLams,FC Amsterdam,
NLalk,Alkmaar,
NLasw,ASWH,
NLaz1,AZ,
NLaz2,Jong AZ,
NLaz6,AZ'67,
NLblw,Blauw Wit,
NLcap,Capelle,
NLcmb,Cambuur Leeuwarden,Cambuur L.
NLdbs,FC Den Bosch,Den Bosch
NLdbr,De Baronie (Breda),
NLdhc,DHC (Delft),
NLdrd,Dordrecht,
NLdos,DOS,
NLdrn,Deurne,
NLdvs,DVS'33 Ermelo,
NLdws,DWS,
NLend,FC Eindhoven,Eindhoven
NLemm,FC Emmen,
NLens,SC Enschede,Enschede
NLelk,Elinkwijk,
NLexc,Excelsior,
NLex3,Excelsior '31,
NLexm,Excelsior Maassluis,
NLgrf,De Graafschap,Graafschap
NLgf2,Jong Graafschap,
NLgrn,FC Groningen,Groningen
NLf54,Fortuna '54,
NLfst,Fortuna Sittard,Fortuna S.
NLsit,Sittardia,
NLfyn,Feyenoord,
NLgae,Go Ahead Eagles,GA Eagles
NLgen,SC Genemuiden,
NLgvv,GVVV,
NLhhc,HHC Hardenberg,
NLhoe,Hoek,
NLhrv,SC Heerenveen,Heerenveen
NLhr2,Jong Heerenveen,
NLhrl,Haarlem,
NLhlm,Helmond Sport,Helmond Sp.
NLhrc,Heracles Almelo,Heracles
NLijs,IJsselmeervogels,
NLjou,SC Joure,
NLjod,Jodan Boys,
NLjvc,JVC Cuijk,
NLktw,Katwijk,
NLkoz,Kozakken Boys,
NLlie,FC Lienden,
NLmvv,MVV Maastricht,MVV
NLnac,NAC Breda,NAC
NLnec,NEC,
NLnod,NOAD,
NLnrd,Noordwijk,
NLnyk,Sparta Nijkerk,
NLodn,ODIN'59,
NLoss,FC Oss,
NLomn,Almere City FC,
NLpsv,PSV,
NLps2,Jong PSV,
NLqbs,Quick Boys,
NLrbc,RBC Roosendaal,RBC
NLrds,Roda Sport,
NLrns,Rijnsburgse Boys,
NLrpj,Rapid JC,
NLrdj,Roda JC,
NLrkc,RKC Waalwijk,RKC
NLshs,SHS/Holland Sport,SHS
NLspk,Spakenburg,
NLspr,Sparta,
NLsvv,SVV,
NLtlr,Telstar,
NLtls,Telstar (vh Stormvogels),
NLtop,Top Oss,
NLtrf,De Treffers,
NLtwn,FC Twente,
NLtw2,Jong Twente,
NLutr,FC Utrecht,
NLut2,Jong Utrecht,
NLvnd,BV Veendam,Veendam
NLvit,Vitesse,
NLvol,FC Volendam,
NLvlw,De Volewijckers,Volewijckers
NLvvs,VVSB,
NLvvv,VVV-Venlo,VVV
NLwag,FC Wageningen,Wageningen
NLwhc,WHC (Wezep),
NLwl2,Willem II,
NLpzw,PEC Zwolle,
NLzwl,FC Zwolle,
NLxd6,Xerxes/DHC'66,
NLxrx,Xerxes,
NLzsl,Zeeuwse selectie,
ADscl,UE Santa Coloma,
ALtrn,KF Tirana,
AMkpn,Gandzasar Kapan,
ATcsb,FC Salzburg,
ATgrz,Grazer AK,
ATkrt,FC K&auml;rnten,
ATlnz,LASK Linz,
ATrbs,Red Bull Salzburg,
ATspl,Sankt P&ouml;lten,
ATstg,Sturm Graz,
ATpsc,SV Pasching,
ATrid,SV Ried,
ATrwn,Rapid Wien,
ATawn,Austria Wien,
ATwlf,Wolfsberger AC,
AZkrb,FK Karabach,
BAzrn,Zrinjski,
BAtzc,FK Tuzla City,
BEand,RSC Anderlecht,
BEant,Royal Antwerp FC,
BEaag,AA Gent,
BEbev,SK Beveren,
BEcbr,Club Brugge,
BErgk,Racing Genk,
BEslk,Standard Luik,
BEusg,Union Sint-Gillis,
BEzwr,Zulte Waregem,
BGllv,Litex Lovech,
BGlks,Lokomotiv Sofia,
BGlsf,Levski Sofia,
BGlpl,Lokomotiv Plovdiv,
BGldg,Ludogorets,
BGtmr,Tsjerno More,
BYbtb,Bate Borisov,
BYslg,Soligorsk,
CHgrs,Grasshoppers,
CHlsp,Lausanne Sports,
CHbsl,FC Basel,
CHlzr,FC Luzern,
CHthn,FC Thun,
CHser,Servette,
CHrgl,Regionale selectie Lausanne,
CHvdz,FC Vaduz,
CHybs,Young Boys,
CHzrc,FC Z&uuml;rich,
CSckr,FK Cukaricki,
CYapl,Apoel Nicosia,
CYapp,Appolon Limassol,
CYomm,Omonia Nicosia,
CZbos,Banik Ostrava,
CZjbl,FK Jablonec,
CZmbl,Mlada Boleslav,
CZsll,Slovan Liberec,
CZslp,Slavia Praag,
CZspr,Sparta Praag,
CZtpl,Teplice,
CZvpl,Viktoria Plzen,
DEaaa,Alemannia Aachen,
DEabg,FC Augsburg,
DEbmn,Bayern M&uuml;nchen,
DEbcm,Vfl Bochum,
DEfrb,SC Freiburg,
DEbdm,Borussia Dortmund,
DEbmg,Borussia M&ouml;nchengladbach,
DEefr,Eintracht Frankfurt,
DEhbc,Hertha BSC,
DEhsv,Hamburger SV,
DEhan,Hannover 96,
DEksl,1. FC Kaiserslautern,
DElpz,RB Leipzig,
DElvk,Bayer Leverkusen,
DEnrn,FC N&uuml;rnberg,
DEvfs,Vfb Stuttgart,
DEs04,Schalke '04,
DEubl,Union Berlin,
DEwbr,Werder Bremen,
DEvwl,VfL Wolfsburg,
DKarh,AGF Aarhus,
DKbrn,Br&oslash;ndby,
DKfkp,FC Kopenhagen,
DKhck,BK H&auml;cken,
DKmdl,Midtjylland,
DKodn,Odense,
DKrnd,Randers FC,
EElvd,Levadia Tallin,
ESalv,CD Alav&eacute;s,
ESamd,Atletico Madrid,
ESbcl,FC Barcelona,
ESbil,Athletic Bilbao,
ESbsv,Betis Sevilla,
ESsvl,Sevilla FC,
EScdv,Celta de Vigo,
ESdlc,Deportivo la Coru&ntilde;a,
ESesp,Espanyol,
ESgrn,Granada,
ESgtf,Getafe,
ESlvn,Levante,
ESmal,M&aacute;laga,
ESmlr,Real Mallorca,
ESoss,Osasuna,
ESrmd,Real Madrid,
ESrsc,Real Sociedad,
ESrst,Racing Santander,
ESrvl,Rayo Vallecano,
EStnr,Tenerife,
ESval,Valencia,
ESvlr,Villarreal,
ESrzg,Real Zaragoza,
FIitr,Inter Turku,
FIjzz,FC Jazz (Pori),
FImyp,My Pa-47,
FIhjk,HJK Helsinki,
FRaux,AJ Auxerre,
FRgbr,Girondins de Bordeaux,
FRlll,OSC Lille,
FRrcl,RC Lens,
FRmnc,AS Monaco,
FRnnc,AS Nancy,
FRomr,Olympique Marseille,
FRnic,OGC Nice,
FRnnt,FC Nantes,
FRoly,Olympique Lyon,
FRpsg,Paris St. Germain,
FRrnn,Stade Rennes,
G1ars,Arsenal,
G1avl,Aston Villa,
G1bbr,Blackburn Rovers,
G1cls,Chelsea,
G1evr,Everton,
G1flh,Fulham,
G1lcc,Leicester City,
G1lds,Leeds Utd,
G1lvp,Liverpool,
G1mnu,Manchester Utd,
G1mnc,Manchester City,
G1mdd,Middlesbrough,
G1nwc,Newcastle Utd,
G1ntf,Nottingham Forest,
G1prt,Portsmouth,
G1sth,Southampton,
G1whu,West Ham United,
G1ttt,Tottenham Hotspur,
G1wlv,Wolverhampton Wanderers,
G2abd,Aberdeen,
G2clt,Celtic,
G2dnd,Dundee United,
G2glr,Glasgow Rangers,
G2hrt,Hearts of Midlothian,
GEdbt,Dynamo Batumi,
GEdtb,Dinamo Tiblisi,
GRatr,Atromitos,
GRaek,AEK Athene,
GRlar,Larissa,
GRolp,Olympiakos Piraeus,
GRpan,Panionios,
GRpnt,Panathinaikos,
GRpks,PAOK Saloniki,
GRpsg,PAS Giannina,
HRdzg,Dinamo Zagreb,
HRczg,Croatia Zagreb,
HRhds,Hajduk Split,
HRhrk,HNK Rijeka,
HRosk,NK Osijek,
HRvrv,Varteks Varazdin,
HUdbr,Debreceni VSC,
HUdnf,Dunaferr SC,
HUfrv,Ferencvaros,
HUkhv,Kispest Honved,
IEdnd,Dundalk,
ILbny,Bnei Yehuda,
ILhbs,Hapoel Beer-Sheva,
ILhhf,Hapoel Haifa,
ILhta,Hapoel Tel Aviv,
ILmhf,Maccabi Haifa,
ILmpt,Maccabi Petach Tikva,
ILmta,Maccabi Tel Aviv,
ISfyl,Fylkir,
ITasr,AS Roma,
ITatb,Atalanta Bergamo,
ITblg,Bologna,
ITfrt,Fiorentina,
ITlzr,Lazio Roma,
ITiml,Inter Milan,
ITjuv,Juventus,
ITmln,AC Milan,
ITnpl,Napoli,
ITprm,AC Parma,
ITprg,AC Perugia,
ITsdr,Sampdoria,
ITudn,Udinese,
ITvcn,Vicenza,
KZakt,Aktobe,
KZast,Astana,
KZkal,Kairat Almaty,
KZskr,FC Shakhter Karagandy,
LTzvl,Z. Vilnius,
LTtrs,FK Tauras,
LUdff,Differdange,
LUndk,Progr&egrave;s Niederkorn,
LVdlp,DAG Liepaja,
LVrgf,Riga FC,
LVvnt,FK Ventspils,
MDshf,FC Sheriff,
MDzmc,Zimbru Chisinau,
MEzet,Zeta,
NOals,Aalesunds FK,
NObbr,Brann Bergen,
NObdg,Bod&oslash;/Glimt,
NOhgs,FK Haugesund,
NOlll,Lillestr&oslash;m,
NOmld,Molde FK,
NOodg,Odd Grenland (Skien),
NOros,Rosenborg BK (Trondheim),
NOiks,IK Start,
NOvli,Valerenga IF,
PLawr,Amica Wronki,
PLlgw,Legia Warschau,
PLlpz,Lech Poznan,
PLplw,Polonia Warschau,
PLwkr,Wisla Krakow,
PTarc,FC Arouca,
PTbnf,Benfica,
PTbmr,Beira Mar,
PTboa,Boavista,
PTbrg,SC Braga,
PTest,Estoril,
PTpcs,FC Pa&ccedil;os Ferreira,
PTpor,FC Porto,
PTgvc,Gil Vicente,
PTspp,Sporting Portugal,
PTspl,Sporting Lissabon,
PTvts,Vit&oacute;ria FC (Set&uacute;bal),
ROast,FC Astra,
ROcfr,CFR Cluj,
ROdnb,Dinamo Boekarest,
ROfrc,Farul Constanta,
ROrpb,Rapid Boekarest,
ROntb,FC National Boekarest,
ROpll,FC Petrolul,
ROstb,Steaua Boekarest,
ROtms,FC Timisoara,
ROvsl,FC Vaslui,
ROvtr,Viitorul,
RSbrc,FK Borac,
RSpbg,Partizan Belgrado,
RSrsb,Rode Ster Belgrado,
RSprt,FK Partizan,
RSvns,Vojvodina Novi Sad,
RUamk,Anzji Machatsjkala,
RUcmk,CSKA Moskou,
RUdmk,Dinamo Moskou,
RUkkr,Koeban Krasnodar,
RUkrs,Krylya Sovetov Samara,
RUnvs,FC Sibir Novosibirsk,
RUlkm,Lokomotiv Moskou,
RUrkz,Roebin Kazan,
RUros,FK Rostov,
RUsmk,Spartak Moskou,
RUzsp,Zenit Sint-Petersburg,
SEaik,AIK Stockholm,
SEdjg,Djurgardens,
SEelf,Elfsborg,
SEifk,IFK G&ouml;teborg,
SEhmm,Hammaby IF,
SEhls,Helsingborgs IF,
SEklm,Kalmar FF,
SEmlm,Malm&ouml; FF,
SEsln,AIK Solna,
SImrb,NK Maribor,
SInsm,NS Mura,
SIolj,Olympia Ljubljana,
SIprm,Primorje,
SKdbb,FC Dukla Banska Bystrica,
SKibr,Inter Bratislava,
SKksc,1. FC Kosice,
SKsbr,Slovan Bratislava,
SKtrc,AS Trencin,
SKzln,MSK Zilina,
TRbkh,Basaksehir,
TRbsk,Besiktas,
TRbrs,Buraspor,
TRglt,Galatasaray,
TRfen,Fenerbah&ccedil;e,
TRksr,Kayserispor,
TRtrb,Trabzonspor,
UAcod,Chornomorets Odesa,
UAdkv,Dinamo Kiev,
UAdjn,Dnjepr Djnepropetrovsk,
UAdnp,SK Dnipro-1,
UAmkh,Metalist Charkiv,
UAmrp,FC Marioepol,
UAsdk,Sjakthor Donetsk,
UAzlg,Zorja Loegansk,
XKdrt,Drita,
