round,land1,land2,dd,result,star
gA,G1,AT,20220706,1-0,
gA,NO,G4,20220706,4-1,
gA,AT,G4,20220711,2-0,
gA,G1,NO,20220711,8-0,
gA,G4,G1,20220715,0-5,
gA,AT,NO,20220715,1-0,
gB,ES,FI,20220708,4-1,
gB,DE,DK,20220708,4-0,
gB,DK,FI,20220712,1-0,
gB,DE,ES,20220712,2-0,
gB,FI,DE,20220716,0-3,
gB,DK,ES,20220716,0-1,
gC,PT,CH,20220709,2-2,
gC,NL,SE,20220709,1-1,
gC,SE,CH,20220713,2-1,
gC,NL,PT,20220713,3-2,
gC,NL,CH,20220717,4-1,
gC,SE,PT,20220717,5-0,
gD,BE,IS,20220710,1-1,
gD,FR,IT,20220710,5-1,
gD,IT,IS,20220714,1-1,
gD,FR,BE,20220714,2-1,
gD,IS,FR,20220718,1-1,
gD,IT,BE,20220718,0-1,
