tournement,rank,name,country,total,remark
wk1998,1,Suker,HR,6,
wk1998,2,Batistuta,AR,5,
wk1998,2,Vieri,IT,5,
wk1998,4,Hernandez,MX,4,
wk1998,4,Ronaldo,BR,4,
wk1998,4,Salas,CL,4,
wk1998,7,Bebeto,BR,3,
wk1998,7,Rivaldo,BR,3,
wk1998,7,Cesar Sampaio,BR,3,
wk1998,7,Henry,FR,3,
wk1998,7,Bierhoff,DE,3,
wk1998,7,Klinsmann,DE,3,
wk1998,7,bergkamp,NL,3,
ek2004,1,Baros,CZ,5,
ek2004,2,vnistelrooy,NL,4,
ek2004,2,Rooney,G1,4,
ek2004,4,Tomasson,DK,3,
ek2004,4,Lampard,G1,3,
ek2004,4,Zidane,FR,3,
ek2004,4,Charisteas,GR,3,
ek2004,4,Larsson,SE,3,
wk2006,1,Klose,DE,5,
wk2006,2,Torres,ES,3,
wk2006,2,Villa,ES,3,
wk2006,2,Podolski,DE,3,
wk2006,2,Crespo,AR,3,
wk2006,2,Rodriguez,AR,3,
wk2006,2,Ronaldo,BR,3,
wk2006,2,Henry,FR,3,
wk2006,2,Zidane,FR,3,
ek2008,1,Villa,ES,4,
ek2008,2,Podolski,DE,3,
ek2008,2,Pavljoetsjenko,RU,3,
ek2008,2,Semih,TR,3,
ek2008,2,Yakin,CH,3,
wk2010,1,Thomas M&uuml;ller,DE,5, # * meeste assists
wk2010,2,Wesley Sneijder,NL,5,
wk2010,2,David Villa,ES,5,
wk2010,2,Diego Forl&aacute;n,UY,5,
wk2010,5,Gonzalo Higua&iacute;n,AR,4,
wk2010,5,Miroslav Klose,DE,4,
wk2010,5,Robert Vittek,SK,4,
wk2010,8,Luis Fabiano,BR,3,
wk2010,8,Asamoah Gyan,GH,3,
wk2010,8,Luis Suarez,UY,3,
wk2010,8,Landon Donovan,US,3,
ek2012,1,Torres,ES,3,
ek2012,1,Dzagoev,RU,3,
ek2012,1,Mandzukic,HR,3,
ek2012,1,Gomez,DE,3,
ek2012,1,Dalotelli,IT,3,
ek2012,1,Ronaldo,PT,3,
ek2012,7,Shevchenko,UA,2,
ek2012,7,Ibrahimovic,SE,2,
wk2014,1,James Rodr&iacute;guez,CO,6,# spreek uit: Games
wk2014,2,Thomas M&uuml;ller,DE,5,
wk2014,3,Neymar,BR,4,
wk2014,3,Lionel Messi,AR,4,
wk2014,3,Robin van Persie,NL,4,
wk2014,6,Arjen Robben,NL,3,
wk2014,6,Karim Benzema,FR,3,
wk2014,6,Enner Valencia,EC,3,
wk2014,6,Xherdan Shaqiri,CH,3,
wk2014,6,Andr&eacute; Sch&uuml;rrle,DE,3,
ek2016,1,Griezmann,FR,6,
ek2016,2,Giroud,FR,3,
ek2016,2,Payet,FR,3,
ek2016,2,Nani,PT,3,
ek2016,2,Ronaldo,PT,3,
ek2016,2,Morata,ES,3,
ek2016,2,Bale,G3,3,
wk2018,1,Harry Kane,G1,6,
wk2018,2,Romelu Lukaku,BE,4,
wk2018,2,Antoine Griezmann,FR,4,
wk2018,2,Kylian Mbappe,FR,4,
wk2018,2,Cristino Ronaldo,FR,4,
wk2018,2,Denis Tsjerysjev,RU,4,
wk2018,7,Eden Hazard,BE,3,
wk2018,7,Yerry Mina,BE,3,
wk2018,7,Mario Mandzukic,HR,3,
wk2018,7,Ivan Perisic,HR,3,
wk2018,7,Artjom Dzjoeba,RU,3,
wk2018,7,Diego Costa,ES,3,
wk2018,7,Edinson Cavani,UY,3,
wkD2019,1,Rapinoe,US,6,
wkD2019,1,Morgan,US,6,
wkD2019,1,White,G1,6,
wkD2019,4,Kerr,AU,5,
wkD2019,5,Cristiane,BR,4,
wkD2019,5,Renard,FR,4,
wkD2019,7,Vivianne Miedema,NL,3,
wkD2019,7,Lloyd,US,3,
wkD2019,7,Lavelle,US,3,
wkD2019,7,Asllani,SE,3,
wkD2019,7,Girelli,IT,3,
wkD2019,7,Galli,IT,3,
wkD2019,7,D&auml;britz,DE,3,
wkD2019,7,J. Hermoso,ES,3,
