round,land1,land2,dd,time,result,spectators,star,stadium,remark
gA,QA,EC,20221120,1700,0-2,67372,,Al Khor,
gA,SN,NL,20221121,1700,0-2,41721,,Doha,ref=NL_SN
gA,QA,SN,20221125,1400,1-3,41797,,Doha,
gA,NL,EC,20221125,1700,1-1,44833,,Al Rayyan,ref=NL_EC
gA,NL,QA,20221129,1600,2-0,66784,,Al Khor,ref=NL_QA
gA,EC,SN,20221129,1600,1-2,44569,,Al Rayyan,
gB,G1,IR,20221121,1400,6-2,45334,,Al Rayyan,
gB,US,G3,20221121,2000,1-1,43418,,Al Rayyan,
gB,G3,IR,20221125,1100,0-2,40875,,Al Rayyan,
gB,G1,US,20221125,2000,0-0,68463,,Al Khor,
gB,G3,G1,20221129,2000,0-3,44297,,Al Rayyan,
gB,IR,US,20221129,2000,0-1,42127,,Doha,
gC,AR,SA,20221122,1100,1-2,88012,,Lusail,
gC,MX,PL,20221122,1700,0-0,39369,,Doha,
gC,PL,SA,20221126,1400,2-0,44259,,Al Rayyan,
gC,AR,MX,20221126,2000,2-0,88966,,Lusail,
gC,PL,AR,20221130,2000,0-2,44089,,Doha,
gC,SA,MX,20221130,2000,1-2,84985,,Lusail,
gD,DK,TN,20221122,1400,0-0,42925,,Al Rayyan,
gD,FR,AU,20221122,2000,4-1,40875,,Al Wakrah,
gD,TN,AU,20221126,1100,0-1,41823,,Al Wakrah,
gD,FR,DK,20221126,1700,2-1,42860,,Doha,
gD,TN,FR,20221130,1600,1-0,43627,,Al Rayyan,
gD,AU,DK,20221130,1600,1-0,41232,,Al Wakrah,
gE,DE,JP,20221123,1400,1-2,42608,,Al Rayyan,
gE,ES,CR,20221123,1700,7-0,44013,,Doha,
gE,JP,CR,20221127,1100,0-1,41479,,Al Rayyan,
gE,ES,DE,20221127,2000,1-1,68895,,Al Khor,
gE,JP,ES,20221201,2000,2-1,44851,,Al Rayyan,
gE,CR,DE,20221201,2000,2-4,67054,,Al Khor,
gF,MA,HR,20221123,1100,0-0,59407,,Al Khor,
gF,BE,CA,20221123,2000,1-0,40432,,Al Rayyan,
gF,BE,MA,20221127,1400,0-2,43738,,Doha,
gF,HR,CA,20221127,1700,4-1,44374,,Al Rayyan,
gF,HR,BE,20221201,1600,0-0,43984,,Al Rayyan,
gF,CA,MA,20221201,1600,1-2,43102,,Doha,
gG,CH,CM,20221124,1100,1-0,39089,,Al Wakrah,
gG,BR,RS,20221124,2000,2-0,88103,,Lusail,
gG,CM,RS,20221128,1100,3-3,39789,,Al Wakrah,
gG,BR,CH,20221128,1700,1-0,43649,,Doha,
gG,RS,CH,20221202,2000,2-3,41378,,Doha,
gG,CM,BR,20221202,2000,1-0,85986,,Lusail,
gH,UY,KR,20221124,1400,0-0,41663,,Al Rayyan,
gH,PT,GH,20221124,1700,3-2,42662,,Doha,
gH,KR,GH,20221128,1400,2-3,43983,,Al Rayyan,
gH,PT,UY,20221128,2000,2-0,88668,,Lusail,
gH,KR,PT,20221202,1600,2-1,44097,,Al Rayyan,
gH,GH,UY,20221202,1600,0-2,43443,,Al Wakrah,
8f,JP,HR,20221205,1600,1-1,42523,6,Al Wakrah,
8f,BR,KR,20221205,2000,4-1,43847,1,Doha,
8f,NL,US,20221203,1600,3-1,44846,1,Al Rayyan,ref=NL_US
8f,AR,AU,20221203,2000,2-1,45032,1,Al Rayyan,
8f,MA,ES,20221206,1600,0-0,44667,5,Al Rayyan,
8f,PT,CH,20221206,2000,6-1,83720,1,Lusail,
8f,G1,SN,20221204,2000,3-0,65985,1,Al Khor,
8f,FR,PL,20221204,1600,3-1,40989,1,Doha,
4f,HR,BR,20221209,1600,-,,,Al Rayyan,
4f,NL,AR,20221209,2000,-,,,Lusail,
4f,MA,PT,20221210,1600,-,,,Doha,
4f,G1,FR,20221210,2000,-,,,Al Khor,
