club id,matches,wins,draws,losses,points,goals scored,goals against
ajx,34,30, 3, 1,63,104,20
fyn,34,26, 3, 5,55,73,24
twn,34,17,14, 3,48,50,13
spr,34,18,10, 6,46,73,38
adh,34,17,10, 7,44,59,33
utr,34,15,10, 9,40,56,42
nec,34,15, 8,11,38,43,43
psv,34,13,10,11,36,47,32
gae,34,13, 8,13,34,48,49
mvv,34,10,10,14,30,36,47
tlr,34, 9,11,14,29,39,52
grn,34, 8,12,14,28,37,55
nac,34, 9, 9,16,27,39,58
dws,34, 7, 6,21,20,28,54
exc,34, 4,12,18,20,18,53
dbs,34, 6, 8,20,20,24,70
vol,34, 5, 7,22,17,16,55
vit,34, 5, 7,22,17,22,74
