season,clubs,u2s,remark
1993-1994,ajx,K;CL,
1993-1994,fyn,EC2,
1993-1994,psv;vit;twn,UEFA,
1993-1994,rkc,PD,
1993-1994,vvv,PDD,
1993-1994,cmb,RD,
1994-1995,ajx,K;CL,
1994-1995,fyn,EC2,
1994-1995,rdj;psv,UEFA,
1994-1995,mvv,PDD,
1994-1995,gae,PD,
1994-1995,drd,RD,
1995-1996,ajx,K;CL,
1995-1996,psv,EC2,
1995-1996,fyn;rdj,UEFA,
1995-1996,vol;nec,PD,
1995-1996,gae,RD,
1996-1997,psv,K;CL,
1996-1997,fyn,vCL,
1996-1997,twn;ajx;vit,UEFA,
1996-1997,rdj,EC2,
1996-1997,rkc;nec,PD,
1996-1997,az1,RD,
1997-1998,ajx,K;CL,
1997-1998,psv,vCL,
1997-1998,vit;fyn;wl2,UEFA,
1997-1998,hrv,EC2,
1997-1998,rkc,PD,
1997-1998,grn,PDD,
1997-1998,vol,RD,
1998-1999,fyn,K;CL,
1998-1999,wl2,CL,
1998-1999,psv,vCL,
1998-1999,ajx;vit;rdj,UEFA,
1998-1999,rkc;spr,PD,
1998-1999,nac,RD,
1999-2000,psv,K;CL,
1999-2000,hrv,CL,
1999-2000,fyn,vCL,
1999-2000,rdj;vit;ajx,UEFA,
1999-2000,mvv;cmb,PDD,
1999-2000,dbs,RD,
2000-2001,psv,K;CL,
2000-2001,fyn,CL,
2000-2001,ajx,vCL,
2000-2001,twn;rdj;utr,UEFA,
2000-2001,fst;spr,PD,
2000-2001,rbc,RD,
2001-2002,ajx,K;CL,
2001-2002,psv,CL,
2001-2002,fyn,vCL,
2001-2002,hrv;vit;utr,UEFA,
2001-2002,dbs;spr,PDD,
2001-2002,fst,RD,
2002-2003,psv,K;CL,
2002-2003,ajx,vCL,
2002-2003,utr;fyn;nac;nec,UEFA,
2002-2003,zwl,PD,
2002-2003,exc,PDD,
2002-2003,grf,RD,
2003-2004,ajx,K;CL,
2003-2004,psv,vCL,
2003-2004,utr;fyn;hrv;az1,UEFA,
2003-2004,vit,PD,
2003-2004,vol,PDD,
2003-2004,zwl,RD,
2004-2005,psv,K;CL,
2004-2005,ajx,vCL,
2004-2005,az1;fyn;hrv;wl2,UEFA,
2004-2005,rbc,PD,
2004-2005,grf,PDD,
2004-2005,dbs,RD,
2005-2006,psv,K;CL,
2005-2006,ajx,vCL,
2005-2006,az1;fyn;grn;hrv,UEFA,
2005-2006,twn,(i-toto),
2005-2006,nac;wl2,PD,
2005-2006,rbc,RD,
2006-2007,psv,K;CL,
2006-2007,ajx,vCL,
2006-2007,az1;hrv;twn;grn,UEFA,
2006-2007,utr,(i-toto),
2006-2007,exc,PD,
2006-2007,rkc,PDD,
2006-2007,adh,RD,
2007-2008,psv,K;CL,
2007-2008,twn,vCL,
2007-2008,fyn;ajx;hrv;nec,UEFA,
2007-2008,grf,PD,
2007-2008,vvv,PDD,
2007-2008,exc,RD,
2008-2009,az1,K;CL,
2008-2009,twn,vCL,
2008-2009,ajx;psv;hrv;nac,vEL,
2008-2009,rdj,PD,
2008-2009,grf,PDD,
2008-2009,vol,RD,
2009-2010,twn,K;CL,
2009-2010,ajx,vCL,
2009-2010,fyn;psv;az1;utr,vEL,
2009-2010,spr,PDD,
2009-2010,wl2,PD,
2009-2010,rkc,RD,
2010-2011,ajx,K;CL,
2010-2011,twn,vCL,
2010-2011,psv;az1;adh,vEL,
2010-2011,exc;vvv,PD,
2010-2011,wl2,RD,
2011-2012,ajx,K;CL,
2011-2012,fyn,vCL,
2011-2012,psv;az1;hrv;vit;twn,vEL,
2011-2012,vvv,PD,
2011-2012,grf,PDD,
2011-2012,exc,RD,
2012-2013,ajx,K;CL,
2012-2013,psv,vCL,
2012-2013,fyn;vit;az1;utr,vEL,
2012-2013,rdj,PD,
2012-2013,vvv,PDD,
2012-2013,wl2,RD,
2013-2014,ajx,K;CL,
2013-2014,fyn,vCL,
2013-2014,pzw;twn;psv;grn,vEL,
2013-2014,nec;rkc,PDD,
2013-2014,rdj,RD,
2014-2015,psv,K;CL,
2014-2015,ajx,vCL,
2014-2015,az1,vEL,
2014-2015,grn,EL,
2014-2015,nac,PDD,
2014-2015,gae,PDD, # en vEL door Fair Play stand
2014-2015,drd,RD,
2015-2016,psv,K;CL,
2015-2016,ajx,vCL,
2015-2016,fyn,EL,
2015-2016,az1,vEL,
2015-2016,hrc,vEL,
2015-2016,wl2,PD,
2015-2016,grf,PDD,
2015-2016,cmb,RD,
2016-2017,fyn,K;CL,
2016-2017,ajx,vCL,
2016-2017,psv;utr,vEL,
2016-2017,vit,EL,
2016-2017,nec,PDD,
2016-2017,rdj,PD,
2016-2017,gae,RD,
2017-2018,psv,K;vCL,
2017-2018,ajx,vCL,
2017-2018,az1;fyn;vit,vEL,
2017-2018,spr;rdj,PDD,
2017-2018,twn,RD,
2018-2019,ajx,K;vCL,
2018-2019,psv,vCL,
2018-2019,fyn;az1,vEL,
2018-2019,grf;exc,PDD,
2018-2019,nac,RD,
2019-2020,ajx,CL,
2019-2020,az1,vCL,
2019-2020,fyn,EL,
2019-2020,psv;wl2,vEL,
2020-2021,ajx,K;CL,
2020-2021,psv,vCL,
2020-2021,az1,vEL,
2020-2021,vit;fyn,vCF,
2020-2021,emm,PDD,
2020-2021,adh;vvv,RD,
2021-2022,ajx,K;CL,
2021-2022,psv,vCL,
2021-2022,fyn,EL,
2021-2022,twn;az1,vCF,
2021-2022,hrc,PDD,
2021-2022,pzw;wl2,RD,
2022-2023,cmb;grn,RD,
2022-2023,fyn,K;CL,
2022-2023,emm,PDD,
2022-2023,psv,vCL,
2022-2023,ajx,vEL,
2022-2023,az1,vCF,
2023-2024,psv,K;CL,
2023-2024,fyn,CL,
2023-2024,twn,vCL,
2023-2024,az1,EL,
2023-2024,ajx,vEL,
2023-2024,gae,vCF,
2023-2024,exc,PDD,
2023-2024,vit;vol,RD,
2024-2025,psv,K;CL,
2024-2025,ajx,CL,
2024-2025,fyn,vCL,
2024-2025,utr,vEL,
2024-2025,gae,EL,
2024-2025,wl2,PD,
2024-2025,rkc;omn,RD,
