year,key,value
1994,city,Lillehammer
1994,title,Schaatsen OS 1994 Lillehammer; Vikingskip (Hamar)
1994,dd,20201213
1998,city,Nagano
1998,title,Schaatsen OS 1998 Nagano
1998,dd,20050319
2002,city,Salt Lake City
2002,title,Schaatsen OS 2002 Salt Lake City
2002,dd,20201212
2006,city,Turijn
2006,title,Schaatsen OS 2006 Turijn
2006,dd,20100302
2010,city,Vancouver
2010,title,Schaatsen OS 2010 Vancouver
2010,dd,20201206
2014,city,Sochi
2014,title,Schaatsen OS 2014 Sotsji (Sochi; Rusland)
2014,dd,20150912
2018,city,PyeongChang
2018,title,Schaatsen OS 2018 PyeongChang (Zuid-Korea)
2018,dd,20201228
2022,city,Beijing
2022,title,Schaatsen OS 2022 Beijing (China)
2022,dd,20220212
2026,city,Milaan
2026,title,Schaatsen OS 2026 Milaan (Itali&euml;)
2026,dd,20260218
