id,full_name,remark
ATant,Emese Antal,
AThnd,Emese Hunyadi,
AThzg,Vanessa Herzog,
ATrkt,Anna Rokita,
BEjpt,Jelena Peeters,
BEsts,Sandrine Tas,
BYktj,Kotjoega,
BYzjv,Marina Zoejeva,
CAach,Susan Auch,
CAbln,Ivanie Blondin,
CAgrv,Kristina Groves,
CAlhl,Laura Hall,
CAhgh,Clara Hughes,
CAkls,Cindy Klassen,
CAblm,Beatrice Lamarche,
CAlmy,Catriona LeMay Doan,
CAmlt,Valerie Maltais,
CAnbt,Christine Nesbitt,
CAsct,Alexa Scott,
CAwdm,Isabelle Weidemann,
CHkmg,Kaitlyn McGregor,
CNhdy,Marsha Hudey,
CNhrn,Hui Ren,
CNjng,Yu Jing,
CNbwg,Beixing Wang,
CNfwg,Fei Wang,
CNldn,Li Dan,
CNmei,Han Mei,
CNlqs,Li Qishi,
CNqby,Qiabo Ye,
CNrhx,Rui Hong Xue,
CNyng,Chunyun Yang,
CNmwg,Manli Wang,
CNyqi,Yin Qi,
CNshg,Zhang Shuang,
CNpyu,Jin Peiyu,
CNwbx,Wang Beixing,
CNzhh,Zhang Hong,
CNtzh,Tai Zhien,
CZerb,Karolina Erbanov&aacute;,
CZsbl,Martina S&aacute;bl&iacute;kov&aacute;,
CZzdl,Nikola Zdr&aacute;lov&aacute;,
DEang,Monique Angerm&uuml;ller,
DEans,Daniela Ansch&uuml;tz,
DEbck,Stephanie Beckert,
DEbar,Anke Baier,
DEfrs,Anni Friesinger,
DEgbr,Monique Garbrecht,
DEmjs,Maira Jasch,
DEhck,Angela Hauck,
DEhbc,Gabriele Hirschbichler,
DEjhs,Judith Hesse,
DEkrs,Bente Kraus,
DEnmn,Gunda Niemann,
DEpch,Claudia Pechstein,
DEsch,Franziska Schenk,
DEudb,Ulrike Adeberg,
DEvlk,Sabine V&ouml;lker,
DEwlf,Jenny Wolf,
DEwrn,Heike Warnicke,
EEsal,Saskia Alusalu,
GBesm,Ellia Smeding,
ITblc,Elena Belci,
ITlll,Francesca Lollobrigida,
ITsmn,Chiara Simionato,
JPago,&Agrave;risa Go,
JPast,Ayano Sato,
JPfmr,Shoko Fujimora,
JPhzm,Masako Hozumi,
JPish,Eriko Ishino,
JPizw,Shiho Ishizawa,
JPhrk,Momoka Horikawa,
JPhsh,Seiko Hashimoto,
JPkdr,Nao Kodaira,
JPksn,Shiho Kusunose,
JPmts,Maki Tsuji,
JPnkd,Nao Kodaira,
JPnmt,Nami Nemoto,
JPntk,Nana Takagi,
JPogs,Miki Ogasawara,
JPokz,Tomomi Okazaki,
JPosg,Sayuri Osuga,
JPosh,Misaki Oshigiri,
JPshm,Kyoko Shimazaki,
JPsnm,Sanmiya,
JPtbt,Maki Tabata,
JPtkg,Miho Takagi,
JPtnk,Aki Tonoike,
JPuhr,Mie Uehara,
JPwtn,Watanabe,
JPrym,Rio Yamada,
JPymm,Hiromi Yamamoto,
JPysh,Sayuri Yoshii,
KPhsk,Ko Hyon-suk,
KRbrm,Kim Bo-reum,
KRlnh,Lee Na-hyun,
KRshl,Lee Sang-Hwa,
KRshy,Sun Hee You,
KZglb,Jelizaveta Goloebeva,
KZmrz,Nadezjda Morozova,
KZmns,Kim Min-sung,
KZprk,Ljoedmila Prokasjeva,
NLach,Carlijn Achtereekte,
NLadj,Antoinette de Jong,
NLmdj,Michelle de Jong,
NLads,Anice Das,
NLaft,Christine Aaftink,
NLawd,Annouk van der Weijden,
NLjbn,Joy Beune,
NLbor,Margot Boer,
NLdlr,Barbara de Loor,
NLdtk,Paulien van Deutekom,
NLgrn,Renate Groenewold,
NLagt,Annette Gerritsen,
NLmcn,Merel Conijn,
NLgsm,Gretha Smit,
NLhof,Sanne in 't Hof,
NLklb,Carien Kleibeuker,
NLkln,Moniek Kleinsman,
NLlns,Marrit Leenstra,
NLmgr,Marijke Groenewoud,
NLvbk,Lotte van Beek,
NLkok,Femke Kok,
NLjlr,Jutta Leerdam,
NLnat,Yvonne Nauta,
NLnuy,Andrea Nuyt,
NLoen,Thijsje Oenema,
NLtdj,Tonny de Jong,
NLstn,Irene Schouten,
NLssc,Suzanne Schulting,          
NLsta,Sanne van der Star,
NLthm,Annamarie Thomas,
NLtmm,Marianne Timmer,
NLvlk,Diane Valkenburg,
NLvis,Marja Vis,
NLvrs,Laurine van Riessen,
NLvss,Esmee Visser,
NLjvr,Jorien Voorhuis,
NLjtm,Jorien ter Mors,
NLedv,Elma de Vries,
NLwsm,Marieke Wijsman,
NLwst,Ireen W&uuml;st,
NLzls,Carla Zijlstra,
NLzwl,Sandra Zwolle,
NObkk,Hege B&oslash;kko,
NOmhg,Maren Haugli,
NOhmm,Mari Hemmer,
NOhst,Edel-Therese Hoiseth,
NOnjt,Ida Njatun,
NOtns,Anette Tonsberg,
NOwkl,Ragne Wiklund,
PLczs,Magdalena Czyszczon,
PLczw,Natalia Czerwonka,
PLkbc,Katarzyna Bacleda-Curus,
PLawj,Andzelika W&oacute;jcik,
PLwjc,Katarzyna W&oacute;jcicka,
PLzmk,Kaja Ziomek,
PLlzl,Luiza Zlotkowska,
ROdsc,Mihaela Dascalu,
RUabr,Jekaterina Abramova,
RUbjr,Svetlana Bojarkina,
RUbrs,Varvara Barisjeva,
RUbsj,Svetlana Basjanova, # of: Bazjanova
RUfdt,Svetlana Fedotkina,
RUftk,Olga Fatkoelina,
RUglk,Angelina Golikova,
RUgrf,Olga Graf,
RUjks,Valentina Jaksjina,
RUjsv,Joelija Skokova,
RUkts,Darja Katsjanova,
RUkkn,Kaikan,
RUkkr,Ksenija Korzjova,
RUlln,Jevgenia Lalenkova,
RUlbs,Jekaterina Lobysjeva,
RUplt,Natalja Polotskova, # of: Polozkova
RUrvl,Oksana Ravilova,
RUsjc,Jekaterina Sjichova,
RUtrp,Tatjana Trapeznikova,
RUtsj,Anna Tsjernova,
RUvrn,Natalia Voronina,
RUvsk,Svetlana Vysokova,
RUzjr,Svetlana Zjoerova,
USbbw,Brittany Bowe,
USblr,Bonnie Blair,
UScst,Carlijn Schoutens,
USdan,Moira d'Andrea,
USgtz,Kimi Goetz,
UShlm,Kirstin Holum,
USjck,Erin Jackson,
USmkl,Mia Kilburg,
USwtt,Christine Witty, # Christine (Chris) Witty
USrch,Heather Richardson-Bergsma,
USrdr,Jennifer Rodriguez,
USrkr,Jilleanne Rookard,
USrny,Catherine Raney,
USsns,Becky Sundstr&oslash;m,
USsnn,Amy Sannes,
USswp,Nancy Swider-Peltz jr,
