id,first_name,insertion,last_name
robben,Arjen,,Robben
vpersie,Robin,van,Persie
vnistelrooy,Ruud,van,Nistelrooy
kluivert,Patrick,,Kluivert
rdeboer,Ronald,de,Boer
fdeboer,Frank,de,Boer
zenden,Boudewijn,,Zenden
overmars,Marc,,Overmars
cocu,Philip,,Cocu
bergkamp,Dennis,,Bergkamp
vhooijdonk,Pierre,van,Hooijdonk
davids,Edgar,,Davids
numan,Arthur,,Numan
makaay,Roy,,Makaay
huntelaar,Klaas-Jan,,Huntelaar
farfan,Jefferson,,Farf&aacute;n
sneijder,Wesley,,Sneijder
alves,Afonso,,Alves
arveladze,Shota,,Arveladze
koevermans,Danny,,Koevermans
nkufo,Blaise,,N'Kufo
perez,Kenneth,,Perez
kuyt,Dirk,,Kuyt
lazovic,Danko,,Lazovic
bakircioglu,Kennedy,,Bakirciogl&uuml;
nevland,Erik,,Nevland
oper,Andreas,,Oper
slory,Andwel&acute;,,Slory
nelisse,Robin,,Nelisse
suarez,Luis,,Su&aacute;rez
deleeuw,Michael,de,Leeuw
voskamp,Johan,,Voskamp
platje,Melvin,,Platje
devries,Mark,de,Vries
berg,Marcus,,Berg
bradley,Michael,,Bradley
sulejmani,Miralem,,Sulejmani
pantelic,Marko,,Pantelic
tuyp,Jack,,Tuyp
vbronckhorst,Giovanni,van,Bronckhorst
elhamdaoui,Mounir,,El Hamdaoui
afellay,Ibrahim,,Afellay
demouge,Frank,,Demouge
pranjic,Danijel,,Pranjic
calabro,Sandro,,Calabro
thiebaut,Gunter,,Thiebaut
koc,,,Ko&ccedil;
ars,Sjoerd,,Ars
plet,Glynor,,Plet
sigthorsson,Kolbeinn,,Sigthorsson
vwolfswinkel,Ricky,van,Wolfswinkel
castaignos,Luc,,Castaignos
hemmen,Michiel,,Hemmen
degroot,Donny,de,Groot
boerrigter,Derk,,Boerrigter
benson,Fred,,Benson
schreurs,Danny,,Schreurs
vdbiezen,Koen,van der,Biezen
honda,Keisuke,,Honda
bokila,Jeremy,,Bokila
terheide,Ruud,ter,Heide
henry,Thierry,,Henry
ruiz,Bryan,,Ruiz
junker,Mads,,Junker
dost,Bas,,Dost
everton,Everton,,Ramos da Silva
dzsudzsak,Bal&aacute;zs,,Dzsudzs&aacute;k
matavz,Tim,,Matavz
toivonen,Ola,,Toivonen
vleminx,Bj&ouml;rn,,Vleminckx
boelykin,Dmitri,,Boelykin
caracciolo,Fabio,,Caracciolo
chadli,Nacer,,Chadli
bargas,Hugo,,Bargas
maachi,Nassir,,Maachi
ldejong,Luuk,de,Jong
sdejong,Siem,de,Jong
malki,Sanharib,,Malki
mertens,Dries,,Mertens
guidetti,John,,Guidetti
altidore,Jozy,,Altidore
quekel,Erik,,Quekel
bony,Wilfried,,Bony
pelle,Graziano,,Pell&egrave;
finnbogason,Alfred,,Finnbogason
wijnaldum,Georginio,,Wijnaldum
mulenga,Jacob,,Mulenga
lens,Jeremain,,Lens
johannsson,Aron,,J&oacute;hannsson
tadic,Du&#349;an,,Tadi&cacute;
higdon,Michael,,Higdon
locadia,J&uuml;rgen,,Locadia
toornstra,Jens,,Toornstra
immers,Lex,,Immers
depay,Memphis,,Depay
traore,B.,,Traor&eacute;
kramer,Michiel,,Kramer
chery,Tjaronn,,Chery
uth,Mark,,Uth
tighadouini,Adnane,,Tighadouini
vjanssen,Vincent,,Janssen
milik,Arek,,Milik
ziyech,Hakim,,Ziyech
haller,S&eacute;bastien,,Haller
havenaar,Mike,,Havenaar
santos,Christian,,Santos
veldwijk,Lars,,Veldwijk
weghorst,Wout,,Weghorst
lozano,Hirving,,Lozano
jorgensen,Nicolai,,J&oslash;rgensen
